continent,location,total_cases
NorthAmerica,United States,4426982
SouthAmerica,Brazil,2552265
Asia,India,1583792
Europe,Russia,828990
Africa,South Africa,471123
NorthAmerica,Mexico,408449
SouthAmerica,Peru,400683
SouthAmerica,Chile,351575
Europe,United Kingdom,301455
Asia,Iran,298909
Asia,Pakistan,277402
SouthAmerica,Colombia,276055
Asia,Saudi Arabia,272590
Europe,Italy,246776
Asia,Bangladesh,232194
Asia,Turkey,228924
Europe,Germany,206926
Europe,France,185196
SouthAmerica,Argentina,173342
Asia,Iraq,118300
