state,date,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,population,casepop,deathpop,region,region1
Alabama,2020-07-29,1,83782,1538,81572,1489,2210,49,4779736,1752.85831686102,32.1775093854556,South,South
Alaska,2020-07-29,2,3440,20,3440,20,0,0,710231,484.349458134044,2.81598522170956,West,West
Arizona,2020-07-29,4,168307,3470,,,,,6392017,2633.0812324185,54.2864638814321,West,West
Arkansas,2020-07-29,5,40968,434,40968,434,0,0,2915918,1404.97778058231,14.8838204640871,South,South
California,2020-07-29,6,487295,8902,487295,8902,0,0,37253956,1308.03558150979,23.8954488484391,West,West
Colorado,2020-07-29,8,45869,1823,,,,,5029196,912.054332342585,36.2483387006591,West,West
Connecticut,2020-07-29,9,49540,4425,,,,,3574097,1386.08437319972,123.807495991295,Northeast,Northeast
Delaware,2020-07-29,10,14602,581,,,,,897934,1626.17742506688,64.7040873828143,South,South
Florida,2020-07-29,12,451415,6332,0,6332,451415,0,18801310,2400.97631494827,33.6785043169864,South,South
Georgia,2020-07-29,13,163547,3566,163547,3566,0,0,9687653,1688.20043409895,36.809741224216,South,South
Hawaii,2020-07-29,15,1842,25,,,,,1360301,135.411206784381,1.83782853941885,West,West
Idaho,2020-07-29,16,19810,176,18601,115,1209,61,1567582,1263.72974428132,11.2274828366235,West,West
Illinois,2020-07-29,17,176967,7661,175725,7467,1242,194,12830632,1379.2539603661,59.70867218388,Midwest,Midwest
Indiana,2020-07-29,18,65918,2932,64299,2733,1619,199,6483802,1016.65658513323,45.2203814983863,Midwest,Midwest
Iowa,2020-07-29,19,43285,849,43285,849,0,0,3046355,1420.87839401514,27.8693717573953,Midwest,Midwest
Kansas,2020-07-29,20,27177,349,,,,,2853118,952.536838644599,12.2322315445768,Midwest,Midwest
Kentucky,2020-07-29,21,29479,746,,,,,4339367,679.338714609758,17.1914475083578,South,South
Louisiana,2020-07-29,22,112887,3883,112773,3769,114,114,4533372,2490.13317239353,85.6536811891899,South,South
Maine,2020-07-29,23,3866,121,3457,121,409,0,1328361,291.035343554952,9.10896962497393,Northeast,Northeast
Maryland,2020-07-29,24,86846,3478,86738,3347,108,131,5773552,1504.20399781625,60.2402126108849,South,South
Massachusetts,2020-07-29,25,116684,8580,109096,8360,7588,220,6547629,1782.080200329,131.039800819503,Northeast,Northeast
Michigan,2020-07-29,26,89026,6426,79988,6174,9038,252,9883640,900.741022538255,65.0165323706651,Midwest,Midwest
Minnesota,2020-07-29,27,52987,1629,52947,1589,40,40,5303925,999.014880489449,30.7131039748865,Midwest,Midwest
Mississippi,2020-07-29,28,55804,1563,55046,1524,758,39,2967297,1880.63412594021,52.6742014702269,South,South
Missouri,2020-07-29,29,47670,1269,47613,1269,57,0,5988927,795.968960717003,21.1891044923406,Midwest,Midwest
Montana,2020-07-29,30,3695,54,3692,54,3,0,989415,373.453000005053,5.45777050075044,West,West
Nebraska,2020-07-29,31,25547,331,25547,331,0,0,1826341,1398.80778014621,18.1236691286019,Midwest,Midwest
Nevada,2020-07-29,32,45928,782,45922,782,6,0,2700551,1700.68997030606,28.9570535790659,West,West
New Hampshire,2020-07-29,33,6513,411,6513,411,0,0,1316470,494.732124545185,31.2198530919808,Northeast,Northeast
New Jersey,2020-07-29,34,182475,15798,180766,13923,1709,1875,8791894,2075.49135601498,179.688244648991,Northeast,Northeast
New Mexico,2020-07-29,35,20136,632,20136,632,0,0,2059179,977.865450259545,30.6918436911021,West,West
New York,2020-07-29,36,418302,32342,413677,27717,4625,4625,19378102,2158.63246049587,166.899730427676,Northeast,Northeast
North Carolina,2020-07-29,37,118100,1889,118100,1889,0,0,9535483,1238.53191285643,19.810218318254,South,South
North Dakota,2020-07-29,38,6231,106,6227,102,4,4,672591,926.417391847349,15.7599492113335,Midwest,Midwest
Ohio,2020-07-29,39,87893,3422,,,,,11536504,761.868586878659,29.6623656525408,Midwest,Midwest
Oklahoma,2020-07-29,40,34605,523,34605,523,0,0,3751351,922.467665648989,13.9416439570704,South,South
Oregon,2020-07-29,41,17805,311,1783,,16022,,3831074,464.752181764174,8.11782805552699,West,West
Pennsylvania,2020-07-29,42,114984,7219,,,,,12702379,905.216259096032,56.8318737773452,Northeast,Northeast
Rhode Island,2020-07-29,44,18800,1007,18800,1007,0,0,1052567,1786.1095778226,95.6708694078382,Northeast,Northeast
South Carolina,2020-07-29,45,85846,1615,85423,1551,423,64,4625364,1855.98365879961,34.9161709218993,South,South
South Dakota,2020-07-29,46,8641,129,8641,129,0,0,814180,1061.31322312019,15.8441622245695,Midwest,Midwest
Tennessee,2020-07-29,47,98145,1008,97043,515,1102,493,6346105,1546.53917639245,15.8837586204451,South,South
Texas,2020-07-29,48,421343,6763,412786,6763,8557,0,25145561,1675.61582738202,26.8954031290056,South,South
Utah,2020-07-29,49,39337,297,24236,177,15101,120,2763885,1423.25024376919,10.7457437628555,West,West
Vermont,2020-07-29,50,1406,56,1406,56,0,0,625741,224.69360326397,8.94938960368587,Northeast,Northeast
Virginia,2020-07-29,51,87993,2125,,,,,8001024,1099.77172921866,26.5591004351443,South,South
Washington,2020-07-29,53,57157,1636,55665,1563,1492,73,6724540,849.976355259988,24.3288016726795,West,West
West Virginia,2020-07-29,54,6326,112,6187,112,139,0,1852994,341.393442180601,6.04427213471819,South,South
Wisconsin,2020-07-29,55,55119,920,51180,913,3939,7,5686986,969.212866006704,16.1772861758408,Midwest,Midwest
Wyoming,2020-07-29,56,2628,26,2172,,456,,563626,466.266637805921,4.61298804526406,West,West
